"gene_id","gene_symbol","gene_name"
"MMT00036525","Olfr1128","olfactory receptor 1128"
"MMT00036528","Stac","src homology three (SH3) and cysteine rich domain"
"MMT00036534","1110032D12Rik","RIKEN cDNA 1110032D12 gene"
"MMT00036544","BC003498","cDNA sequence BC00398"
"MMT00036546","Gpr87","G protein-coupled receptor 87"
"MMT00036549","Hoxa11","homeo box A11"
"MMT00036550","Dlx4","distal-less homeobox 4"
"MMT00036552",NA,NA
"MMT00036555","Ssb","Sjogren syndrome antigen B"
"MMT00036556","6330527O06Rik","RIKEN cDNA 6330527O06 gene"
"MMT00036559","V1rh10","vomeronasal 1 receptor, H10"
"MMT00036564","Pik3cg","phosphoinositide-3-kinase, catalytic, gamma polypeptide"
"MMT00036565","Helb","helicase (DNA) B"
"MMT00036566",NA,NA
"MMT00036571","Sost","sclerostin"
"MMT00036574","Sah","SA rat hypertension-associated homolog"
"MMT00036578","1300017J02Rik","RIKEN cDNA 1300017J02 gene"
"MMT00036589","Ssa2","Sjogren syndrome antigen A2"
"MMT00036591","4930578N16Rik","RIKEN cDNA 4930578N16 gene"
"MMT00036596","1110034O07Rik","RIKEN cDNA 1110034O07 gene"
"MMT00036599","Bcan","brevican"
"MMT00036601","Brp16","brain protein 16"
"MMT00036602","Olfr818","olfactory receptor 818"
"MMT00036603","Sprrl3","small proline rich-like 3"
"MMT00036605","Paox","polyamine oxidase"
"MMT00036608","C230030N03",NA
"MMT00036610","Bcat1","branched chain aminotransferase 1, cytosolic"
"MMT00036615","Nup37","nucleoporin 37"
"MMT00036616","Espl1","extra spindle poles-like 1 (S. cerevisiae)"
"MMT00036618","Hmgcl","3-hydroxy-3-methylglutaryl-Coenzyme A lyase"
"MMT00036624","Blcap","bladder cancer associated protein homolog (human)"
"MMT00036627","9130218O11Rik","RIKEN cDNA 9130218O11 gene"
"MMT00036629","Krt1-16","keratin complex 1, acidic, gene 16"
"MMT00036630","2300002G24Rik","RIKEN cDNA 2300002G24 gene"
"MMT00036635","Mb","myoglobin"
"MMT00036647","Psma7","proteasome (prosome, macropain) subunit, alpha type 7"
"MMT00036650","Cd163","CD163 antigen"
"MMT00036653","Gna-rs1","guanine nucleotide binding protein, related sequence 1"
"MMT00036655",NA,NA
"MMT00036660","9830006J20Rik","RIKEN cDNA 9830006J20 gene"
"MMT00036665","Serpinb9c","serine (or cysteine) proteinase inhibitor, clade B, member 9c"
"MMT00036668",NA,NA
"MMT00036669","Rnf11","ring finger protein 11"
"MMT00036672","1810021J13Rik","RIKEN cDNA 1810021J13 gene"
"MMT00036673","Fcrl3","Fc receptor-like 3"
"MMT00036675","Gzmd","granzyme D"
"MMT00036681",NA,NA
"MMT00036687","2310016F22Rik","RIKEN cDNA 2310016F22 gene"
"MMT00036689","1110038F14Rik","RIKEN cDNA 1110038F14 gene"
"MMT00036692","Cyp2b10","cytochrome P450, family 2, subfamily b, polypeptide 10"
"MMT00036693","1110007A13Rik","RIKEN cDNA 1110007A13 gene"
"MMT00036701","Tebp",NA
"MMT00036706","Tnfrsf14","tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"
"MMT00036707","Mcpt7","mast cell protease 7"
"MMT00036711","Astn1","astrotactin 1"
"MMT00036714",NA,NA
"MMT00036715","Zfp71-rs1","zinc finger protein 71, related sequence 1"
"MMT00036717","Tnfaip3","tumor necrosis factor, alpha-induced protein 3"
"MMT00036718","Kirrel3","kin of IRRE like 3 (Drosophila)"
"MMT00036719","Tpst2","protein-tyrosine sulfotransferase 2"
"MMT00036722","BC004012","cDNA sequence BC004012"
"MMT00036723","Slc9a9","solute carrier family 9 (sodium/hydrogen exchanger), isoform 9"
"MMT00036734","Gstp1","glutathione S-transferase, pi 1"
"MMT00036735","4933422A05Rik","RIKEN cDNA 4933422A05 gene"
"MMT00036738","Slc9a9","solute carrier family 9 (sodium/hydrogen exchanger), isoform 9"
"MMT00036739","D6Ertd32e","DNA segment, Chr 6, ERATO Doi 32, expressed"
"MMT00036740","Abhd2","abhydrolase domain containing 2"
"MMT00036743",NA,NA
"MMT00036746","Cd52","CD52 antigen"
"MMT00036749","1190002N15Rik","RIKEN cDNA 1190002N15 gene"
"MMT00036754","Atf5","activating transcription factor 5"
"MMT00036756","Commd1","COMM domain containing 1"
"MMT00036759",NA,NA
"MMT00036762",NA,NA
"MMT00036773","A930027K05Rik","RIKEN cDNA A930027K05 gene"
"MMT00036776","D430026P16Rik","RIKEN cDNA D430026P16 gene"
"MMT00036779","Fbxo37","F-box only protein 37"
"MMT00036785","Dvl2","dishevelled 2, dsh homolog (Drosophila)"
"MMT00036789","Fbxo18","F-box only protein 18"
"MMT00036790","Racgap1","Rac GTPase-activating protein 1"
"MMT00036794","Nr2e3","nuclear receptor subfamily 2, group E, member 3"
"MMT00036795","Chrac1","chromatin accessibility complex 1"
"MMT00036806","Spon1","spondin 1, (f-spondin) extracellular matrix protein"
"MMT00036810","Srp54","signal recognition particle 54"
"MMT00036812","Ihpk1","inositol hexaphosphate kinase 1"
"MMT00036816","Ankrd22","ankyrin repeat domain 22"
"MMT00036820","1700088E04Rik","RIKEN cDNA 1700088E04 gene"
"MMT00036822","4930470H14Rik","RIKEN cDNA 4930470H14 gene"
"MMT00036826","Cntfr","ciliary neurotrophic factor receptor"
"MMT00036832","4930505D03Rik","RIKEN cDNA 4930505D03 gene"
"MMT00036837","A530082C11Rik","RIKEN cDNA A530082C11 gene"
"MMT00036838",NA,NA
"MMT00036845","Dlgh4","discs, large homolog 4 (Drosophila)"
"MMT00036848","4933424F08Rik","RIKEN cDNA 4933424F08 gene"
"MMT00036856","BC010584","cDNA sequence BC010584"
"MMT00036859","Plekhm1","pleckstrin homology domain containing, family M (with RUN domain) member 1"
"MMT00036879","Arf4","ADP-ribosylation factor 4"
"MMT00036880","0610009O03Rik","RIKEN cDNA 0610009O03 gene"
"MMT00036881","Ssx2ip","synovial sarcoma, X breakpoint 2 interacting protein"
"MMT00036891","Dock3","dedicator of cyto-kinesis 3"
"MMT00036898","Wbscr5","Williams-Beuren syndrome chromosome region 5 homolog (human)"
"MMT00036900","Hand1","heart and neural crest derivatives expressed transcript 1"
"MMT00036902","Nanog","Nanog homeobox"
"MMT00036909",NA,NA
"MMT00036912","0610030G03Rik","RIKEN cDNA 0610030G03 gene"
"MMT00036913","B4galt6","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6"
"MMT00036915","1600027J07Rik","RIKEN cDNA 1600027J07 gene"
"MMT00036919","Relb","avian reticuloendotheliosis viral (v-rel) oncogene related B"
"MMT00036920","0610012D09Rik","RIKEN cDNA 0610012D09 gene"
"MMT00036926","Strm","striamin"
"MMT00036952","6430529G09Rik","RIKEN cDNA 6430529G09 gene"
"MMT00036954","Sept4","septin 4"
"MMT00036955","Jrk","jerky"
"MMT00036960","Pigt","phosphatidylinositol glycan, class T"
"MMT00036961","4933426M11Rik","RIKEN cDNA 4933426M11 gene"
"MMT00036966","Nlgn1","neuroligin 1"
"MMT00036968","Dnclc1","dynein, cytoplasmic, light chain 1"
"MMT00036983","Wdr22","WD repeat domain 22"
"MMT00037000","B930007L02Rik","RIKEN cDNA B930007L02 gene"
"MMT00037005","Recql5","RecQ protein-like 5"
"MMT00037006","1700023H08Rik","RIKEN cDNA 1700023H08 gene"
"MMT00037025","Bmper",NA
"MMT00037027","Ap1m1","adaptor-related protein complex AP-1, mu subunit 1"
"MMT00037028","Rpl13","ribosomal protein L13"
"MMT00037032","Tshb","thyroid stimulating hormone, beta subunit"
"MMT00037036","Zfp393","zinc finger protein 393"
"MMT00037039","1700081L11Rik","RIKEN cDNA 1700081L11 gene"
"MMT00037057","Pvrl3","poliovirus receptor-related 3"
"MMT00037059","2510040D07Rik","RIKEN cDNA 2510040D07 gene"
"MMT00037060","Chm","choroidermia"
"MMT00037063","LOC226565",NA
"MMT00037064","9030416H16Rik","RIKEN cDNA 9030416H16 gene"
"MMT00037070","Il23r","interleukin 23 receptor"
"MMT00037071","Stk2","serine/threonine kinase 2"
"MMT00037083","Hn1","hematological and neurological expressed sequence 1"
"MMT00037085","Wnt3","wingless-related MMTV integration site 3"
"MMT00037089","Igl-V1","immunoglobulin lambda chain, variable 1"
"MMT00037097","Timeless","timeless homolog (Drosophila)"
"MMT00037099","1700055J15Rik","RIKEN cDNA 1700055J15 gene"
"MMT00037107","Oas1g","2'-5' oligoadenylate synthetase 1G"
"MMT00037110","C530043G21Rik","RIKEN cDNA C530043G21 gene"
"MMT00037122","BC006662","cDNA sequence BC006662"
"MMT00037125","Thrap3","thyroid hormone receptor associated protein 3"
"MMT00037128","5830443L24Rik","RIKEN cDNA 5830443L24 gene"
"MMT00037134","Thrb","thyroid hormone receptor beta"
"MMT00037138","Dbr1","debranching enzyme homolog 1 (S. cerevisiae)"
"MMT00037143","Dpp3","dipeptidylpeptidase 3"
"MMT00037144",NA,NA
"MMT00037148","Tbpl1","TATA box binding protein-like 1"
"MMT00037154","B3Gat3","beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)"
"MMT00037155","Pcdha10","protocadherin alpha 10"
"MMT00037165","2610206B13Rik","RIKEN cDNA 2610206B13 gene"
"MMT00037171","Has2","hyaluronan synthase 2"
"MMT00037174","C730036D15Rik","RIKEN cDNA C730036D15 gene"
"MMT00037178","Ggt1","gamma-glutamyltransferase 1"
"MMT00037184","Akr1b7","aldo-keto reductase family 1, member B7"
"MMT00037188",NA,NA
"MMT00037190","C130058G22Rik","RIKEN cDNA C130058G22 gene"
"MMT00037192","2610307P16Rik","RIKEN cDNA 2610307P16 gene"
"MMT00037193","Pctk2","PCTAIRE-motif protein kinase 2"
"MMT00037198","Lcp1","lymphocyte cytosolic protein 1"
"MMT00037199","Adcy9","adenylate cyclase 9"
"MMT00037203","D530031C13Rik","RIKEN cDNA D530031C13 gene"
"MMT00037207","Stxbp1","syntaxin binding protein 1"
"MMT00037217","2610039E05Rik","RIKEN cDNA 2610039E05 gene"
"MMT00037223","Emd","emerin"
"MMT00037224","2510002D24Rik","RIKEN cDNA 2510002D24 gene"
"MMT00037229","E130203B14Rik","RIKEN cDNA E130203B14 gene"
"MMT00037230","Abcd1","ATP-binding cassette, sub-family D (ALD), member 1"
"MMT00037242","Srm","spermidine synthase"
"MMT00037245","Kns2","kinesin 2"
"MMT00037252","Osr2","odd-skipped related 2 (Drosophila)"
"MMT00037254","Ccrl2","chemokine (C-C motif) receptor-like 2"
"MMT00037255","Psma2","proteasome (prosome, macropain) subunit, alpha type 2"
"MMT00037258","Apoa4","apolipoprotein A-IV"
"MMT00037260",NA,"gene model 1205, (NCBI)"
"MMT00037263","1200013I08Rik","RIKEN cDNA 1200013I08 gene"
"MMT00037266","Epo","erythropoietin"
"MMT00037272","Stx12","syntaxin 12"
"MMT00037279","2810405J04Rik","RIKEN cDNA 2810405J04 gene"
"MMT00037280","5330431K02Rik","RIKEN cDNA 5330431K02 gene"
"MMT00037282","Nat3","N-acetyltransferase 3"
"MMT00037284","Olfr1353","olfactory receptor 1353"
"MMT00037295","AJ430384","cDNA sequence AJ430384"
"MMT00037302","Smyd5","SET and MYND domain containing 5"
"MMT00037304","1300004C11Rik","RIKEN cDNA 1300004C11 gene"
"MMT00037307","Cpa4","carboxypeptidase A4"
"MMT00037308","Frmd3","FERM domain containing 3"
"MMT00037310","Bcl7a","B-cell CLL/lymphoma 7A"
"MMT00037316","Slc30a6","solute carrier family 30 (zinc transporter), member 6"
"MMT00037325","2700094F01Rik","RIKEN cDNA 2700094F01 gene"
"MMT00037329","BC030882","cDNA sequence BC030882"
"MMT00037331",NA,NA
"MMT00037332","Ctla4","cytotoxic T-lymphocyte-associated protein 4"
"MMT00037337","Mup4","major urinary protein 4"
"MMT00037360",NA,NA
"MMT00037365","1700052K11Rik","RIKEN cDNA 1700052K11 gene"
"MMT00037366","Dkk1","dickkopf homolog 1 (Xenopus laevis)"
"MMT00037368","Gspt2","G1 to phase transition 2"
"MMT00037369",NA,NA
"MMT00037373","Syp","synaptophysin"
"MMT00037375","Skiv2l","superkiller viralicidic activity 2-like (S. cerevisiae )"
"MMT00037376","Gstz1","glutathione transferase zeta 1 (maleylacetoacetate isomerase)"
"MMT00037377","Zrf2","zuotin related factor 2"
"MMT00037378","BC030882","cDNA sequence BC030882"
"MMT00037379","Cst10","cystatin 10 (chondrocytes)"
"MMT00037380","C130060K24Rik","RIKEN cDNA C130060K24 gene"
"MMT00037383","2210010C04Rik","RIKEN cDNA 2210010C04 gene"
"MMT00037385","Dnaja1","DnaJ (Hsp40) homolog, subfamily A, member 1"
"MMT00037403","Tjp3","tight junction protein 3"
"MMT00037404","Klra2","killer cell lectin-like receptor, subfamily A, member 2"
"MMT00037407",NA,NA
"MMT00037414","Nedd4","neural precursor cell expressed, developmentally down-regulted gene 4"
"MMT00037418","Emx1","empty spiracles homolog 1 (Drosophila)"
"MMT00037419","A930038C07Rik","RIKEN cDNA A930038C07 gene"
"MMT00037422","1810034M08Rik","RIKEN cDNA 1810034M08 gene"
"MMT00037424","Nefl","neurofilament, light polypeptide"
"MMT00037425","Adam28","a disintegrin and metalloprotease domain 28"
"MMT00037428","Ifitm1","interferon induced transmembrane protein 1"
"MMT00037434","Smarcad1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1`"
"MMT00037437","Sfxn5","sideroflexin 5"
"MMT00037443","Dkk4","dickkopf homolog 4 (Xenopus laevis)"
"MMT00037447","Trem2","triggering receptor expressed on myeloid cells 2"
"MMT00037450","4931415M17",NA
"MMT00037452","Ube2g2","ubiquitin-conjugating enzyme E2G 2"
"MMT00037453","Myrip","myosin VIIA and Rab interacting protein"
"MMT00037456","Ercc4","excision repair cross-complementing rodent repair deficiency, complementation group 4"
"MMT00037458","Sgk3","serum/glucocorticoid regulated kinase 3"
"MMT00037462","Slc16a4","solute carrier family 16 (monocarboxylic acid transporters), member 4"
"MMT00037463","Cyp2d26","cytochrome P450, family 2, subfamily d, polypeptide 26"
"MMT00037475","9030611K07Rik","RIKEN cDNA 9030611K07 gene"
"MMT00037476","2210408F21Rik","RIKEN cDNA 2210408F21 gene"
"MMT00037477","D6Ertd538e","DNA segment, Chr 6, ERATO Doi 538, expressed"
"MMT00037478","Kcnc3","potassium voltage gated channel, Shaw-related subfamily, member 3"
"MMT00037483","1700040I03Rik","RIKEN cDNA 1700040I03 gene"
"MMT00037488","Pkhd1l1","polycystic kidney and hepatic disease 1-like 1"
"MMT00037491","Ms4a3","membrane-spanning 4-domains, subfamily A, member 3"
"MMT00037496",NA,NA
"MMT00037499","Sav1","salvador homolog 1 (Drosophila)"
"MMT00037514",NA,NA
"MMT00037516","Bard1","BRCA1 associated RING domain 1"
"MMT00037519","C030034I22Rik","RIKEN cDNA C030034I22 gene"
"MMT00037521",NA,NA
"MMT00037526","A530082C11Rik","RIKEN cDNA A530082C11 gene"
"MMT00037534","9830109N13Rik","RIKEN cDNA 9830109N13 gene"
"MMT00037542","Cidea","cell death-inducing DNA fragmentation factor, alpha subunit-like effector A"
"MMT00037543","5730403B10Rik","RIKEN cDNA 5730403B10 gene"
"MMT00037545","Slc4a10","solute carrier family 4, sodium bicarbonate cotransporter-like, member 10"
"MMT00037546","2610002J02Rik","RIKEN cDNA 2610002J02 gene"
"MMT00037549",NA,NA
"MMT00037552","E330036I19Rik","RIKEN cDNA E330036I19 gene"
"MMT00037560","Htr3b","5-hydroxytryptamine (serotonin) receptor 3B"
"MMT00037564","Rasgef1b","RasGEF domain family, member 1B"
"MMT00037565","Dock3","dedicator of cyto-kinesis 3"
"MMT00037568","Herc2","hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 2"
"MMT00037569","Slc22a8","solute carrier family 22 (organic anion transporter), member 8"
"MMT00037570","Adn","adipsin"
"MMT00037571","Aldh1a7","aldehyde dehydrogenase family 1, subfamily A7"
"MMT00037572","Atp2a3","ATPase, Ca++ transporting, ubiquitous"
"MMT00037574","5930405J04Rik","RIKEN cDNA 5930405J04 gene"
"MMT00037578",NA,NA
"MMT00037588","Acvr1","activin A receptor, type 1"
"MMT00037591","4921521F21Rik","RIKEN cDNA 4921521F21 gene"
"MMT00037596","Ppp1r3f","protein phosphatase 1, regulatory (inhibitor) subunit 3F"
"MMT00037598","Nup155","nucleoporin 155"
"MMT00037599","Thrap2","thyroid hormone receptor associated protein 2"
"MMT00037600","Cacna1a","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
"MMT00037603","Dlx6","distal-less homeobox 6"
"MMT00037611","Vdac2","voltage-dependent anion channel 2"
"MMT00037612","4933430A16Rik","RIKEN cDNA 4933430A16 gene"
"MMT00037620",NA,NA
"MMT00037623","3830431G21Rik","RIKEN cDNA 3830431G21 gene"
"MMT00037631","Expi","extracellular proteinase inhibitor"
"MMT00037635","Luzp2","leucine zipper protein 2"
"MMT00037639","Spg6","spastic paraplegia 6 homolog (human)"
"MMT00037643","Ctss","cathepsin S"
"MMT00037650",NA,NA
"MMT00037652","Eif2s2","eukaryotic translation initiation factor 2, subunit 2 (beta)"
"MMT00037659","Olfr830","olfactory receptor 830"
"MMT00037660",NA,NA
"MMT00037661","Fads3","fatty acid desaturase 3"
"MMT00037665","1700010N08Rik","RIKEN cDNA 1700010N08 gene"
"MMT00037669","Ube2j1","ubiquitin-conjugating enzyme E2, J1"
"MMT00037674","Slc29a1","solute carrier family 29 (nucleoside transporters), member 1"
"MMT00037678","Abcc12","ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
"MMT00037681","Rpl37a","ribosomal protein L37a"
"MMT00037685","Sim2","single-minded 2"
"MMT00037690","Es1","esterase 1"
"MMT00037697","Acr","preproacrosin"
"MMT00037701","Tax1bp1","Tax1 (human T-cell leukemia virus type I) binding protein 1"
"MMT00037715","1700013E18Rik","RIKEN cDNA 1700013E18 gene"
"MMT00037720","AA117069","expressed sequence AA117069"
"MMT00037728","Mbc2","membrane bound C2 domain containing protein"
"MMT00037730",NA,"gene model 1568, (NCBI)"
"MMT00037732","Arfgap1","ADP-ribosylation factor GTPase activating protein 1"
"MMT00037739","Metapl1","methionine aminopeptidase-like 1"
"MMT00037740","Ptpro","protein tyrosine phosphatase, receptor type, O"
"MMT00037744","Kbtbd9","kelch repeat and BTB (POZ) domain containing 9"
"MMT00037749","3830431G21Rik","RIKEN cDNA 3830431G21 gene"
"MMT00037752","2310002D06Rik","RIKEN cDNA 2310002D06 gene"
"MMT00037764","Punc","putative neuronal cell adhesion molecule"
"MMT00037766","D17H6S56E-3","DNA segment, Chr 17, human D6S56E 3"
"MMT00037768","BC068281","cDNA sequence BC068281"
"MMT00037773","4930500C15Rik","RIKEN cDNA 4930500C15 gene"
"MMT00037780",NA,NA
"MMT00037781","Gas7","growth arrest specific 7"
"MMT00037786","Espn","espin"
"MMT00037787","BC049816","cDNA sequence BC049816"
"MMT00037790","Sdad1","SDA1 domain containing 1"
"MMT00037793","Npy2r","neuropeptide Y receptor Y2"
"MMT00037795","Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"MMT00037796","4930405M20Rik","RIKEN cDNA 4930405M20 gene"
"MMT00037799","Leprel1","leprecan-like 1"
"MMT00037801","BC020077","cDNA sequence BC020077"
"MMT00037803","Slc25a29","solute carrier family 25 (mitochondrial carrier, palmitoylcarnitine transporter), member 29"
"MMT00037810","Ppp4r2","protein phosphatase 4, regulatory subunit 2"
"MMT00037813","4930449E07Rik","RIKEN cDNA 4930449E07 gene"
"MMT00037817","Ckmt2","creatine kinase, mitochondrial 2"
"MMT00037821","Lamb2","laminin, beta 2"
"MMT00037827","Snrpn","small nuclear ribonucleoprotein N"
"MMT00037828",NA,NA
"MMT00037829",NA,"gene model 540, (NCBI)"
"MMT00037834",NA,"gene model 24, (NCBI)"
"MMT00037835","2810403P18Rik","RIKEN cDNA 2810403P18 gene"
"MMT00037840","Adamts16","a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 16"
"MMT00037841","Unc50","unc-50 homolog (C. elegans)"
"MMT00037849","D130026O08Rik","RIKEN cDNA D130026O08 gene"
"MMT00037852","Map1lc3b","microtubule-associated protein 1 light chain 3 beta"
"MMT00037853","Chat","choline acetyltransferase"
"MMT00037857",NA,NA
"MMT00037859","Mapkap1","mitogen-activated protein kinase associated protein 1"
"MMT00037860","1700049E22Rik","RIKEN cDNA 1700049E22 gene"
"MMT00037861","Adamts16","a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 16"
"MMT00037868","1600029O10Rik","RIKEN cDNA 1600029O10 gene"
"MMT00037870","Skb1","SKB1 homolog (S. pombe)"
"MMT00037871","6330516O17Rik","RIKEN cDNA 6330516O17 gene"
"MMT00037872","Zfyve16","zinc finger, FYVE domain containing 16"
"MMT00037875",NA,NA
"MMT00037881",NA,NA
"MMT00037885","Mrvldc3","MARVEL (membrane-associating) domain containing 3"
"MMT00037888",NA,NA
"MMT00037893","A830093I24Rik","RIKEN cDNA A830093I24 gene"
"MMT00037896","4922501K12Rik","RIKEN cDNA 4922501K12 gene"
"MMT00037897",NA,NA
"MMT00037908","Slc22a13","solute carrier family 22 (organic cation transporter), member 13"
"MMT00037909","2510019J09Rik","RIKEN cDNA 2510019J09 gene"
"MMT00037913","BC065123","cDNA sequence BC065123"
"MMT00037922","Pcdha9","protocadherin alpha 9"
"MMT00037923","2310003M01Rik","RIKEN cDNA 2310003M01 gene"
"MMT00037927","9230106L14Rik","RIKEN cDNA 9230106L14 gene"
"MMT00037931","D530031C13Rik","RIKEN cDNA D530031C13 gene"
"MMT00037934",NA,NA
"MMT00037936","1700025E21Rik","RIKEN cDNA 1700025E21 gene"
"MMT00037938",NA,NA
"MMT00037943","Ywhag","3-monooxgenase/tryptophan 5-monooxgenase activation protein, gamma polypeptide"
"MMT00037947","Dll1","delta-like 1 (Drosophila)"
"MMT00037949",NA,NA
"MMT00037952","Bin1","bridging integrator 1"
"MMT00037954","1110015E22Rik","RIKEN cDNA 1110015E22 gene"
"MMT00037962","Np15","nuclear protein 15.6"
"MMT00037968",NA,NA
"MMT00037970","4930435E12Rik","RIKEN cDNA 4930435E12 gene"
"MMT00037971","E430002G05Rik","RIKEN cDNA E430002G05 gene"
"MMT00037975","Blvra","biliverdin reductase A"
"MMT00037977","2810474O19Rik","RIKEN cDNA 2810474O19 gene"
"MMT00037979","Upk1b","uroplakin 1B"
"MMT00037982","D030011O10Rik","RIKEN cDNA D030011O10 gene"
"MMT00037984","Igsf11","immunoglobulin superfamily, member 11"
"MMT00037995","Scn9a","sodium channel, voltage-gated, type IX, alpha polypeptide"
"MMT00037996","Anktm1",NA
"MMT00037999","Tprt","trans-prenyltransferase"
"MMT00038000","Cd44","CD44 antigen"
"MMT00038002","Pknox1","Pbx/knotted 1 homeobox"
"MMT00038004","Hnrpa1","heterogeneous nuclear ribonucleoprotein A1"
"MMT00038005","Klk4","kallikrein 4 (prostase, enamel matrix, prostate)"
"MMT00038006",NA,"gene model 1319, (NCBI)"
"MMT00038010","Dpf3","D4, zinc and double PHD fingers, family 3"
"MMT00038017","Qdpr","quininoid dihydropteridine reductase"
"MMT00038020","Syt11","synaptotagmin 11"
"MMT00038021","Rad23a","RAD23a homolog (S. cerevisiae)"
"MMT00038022","Pgd","phosphogluconate dehydrogenase"
"MMT00038028","Gbas","glioblastoma amplified sequence"
"MMT00038033","Myl7","myosin, light polypeptide 7, regulatory"
"MMT00038034","Ipo8","importin 8"
"MMT00038035","AI843918","expressed sequence AI843918"
"MMT00038042","Rab5b","RAB5B, member RAS oncogene family"
"MMT00038045","Tceb2","transcription elongation factor B (SIII), polypeptide 2"
"MMT00038046","V1re11","vomeronasal 1 receptor, E11"
"MMT00038047","AI194318","expressed sequence AI194318"
"MMT00038049",NA,NA
"MMT00038053",NA,NA
"MMT00038058","Ldh1","lactate dehydrogenase 1, A chain"
"MMT00038063","Sprrl10","small proline rich-like 10"
"MMT00038064","Cart",NA
"MMT00038067","Adrbk2","adrenergic receptor kinase, beta 2"
"MMT00038070",NA,NA
"MMT00038073","Pem","placentae and embryos oncofetal gene"
"MMT00038075","Arhgap21","Rho GTPase activating protein 21"
"MMT00038076","Nnat","neuronatin"
"MMT00038079","1700012F17Rik","RIKEN cDNA 1700012F17 gene"
"MMT00038084","2810446P07Rik","RIKEN cDNA 2810446P07 gene"
"MMT00038085","Srpx","sushi-repeat-containing protein"
"MMT00038086","Gtf2ird1","general transcription factor II I repeat domain-containing 1"
"MMT00038088","C730024G19Rik","RIKEN cDNA C730024G19 gene"
"MMT00038091","Mpra",NA
"MMT00038100","9430059D04Rik","RIKEN cDNA 9430059D04 gene"
"MMT00038101","Bicd1","bicaudal D homolog 1 (Drosophila)"
"MMT00038106","Myo18b","myosin XVIIIb"
"MMT00038107","D3Ertd789e","DNA segment, Chr 3, ERATO Doi 789, expressed"
"MMT00038111","Adfp","adipose differentiation related protein"
"MMT00038112","Cycs","cytochrome c, somatic"
"MMT00038113",NA,NA
"MMT00038115","Speer3","spermatogenesis associated glutamate (E)-rich protein 3"
"MMT00038120","Olfr1284","olfactory receptor 1284"
"MMT00038123","Ugp2","UDP-glucose pyrophosphorylase 2"
"MMT00038126","C1qdc1","C1q domain containing 1"
"MMT00038132","Maged1","melanoma antigen, family D, 1"
"MMT00038133","Nat5","N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)"
"MMT00038134","Foxa1","forkhead box A1"
"MMT00038141","4833442J19Rik","RIKEN cDNA 4833442J19 gene"
"MMT00038153","Erdr1",NA
"MMT00038155","Dlx3","distal-less homeobox 3"
"MMT00038158","D130067I03Rik","RIKEN cDNA D130067I03 gene"
"MMT00038159","2610510D13Rik","RIKEN cDNA 2610510D13 gene"
"MMT00038168","D4Bwg1540e","DNA segment, Chr 4, Brigham & Women's Genetics 1540 expressed"
"MMT00038169","Smarca3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3"
"MMT00038173","Dnd1","dead end homolog 1 (zebrafish)"
"MMT00038187","2900026A02Rik","RIKEN cDNA 2900026A02 gene"
"MMT00038190","Farslb","phenylalanine-tRNA synthetase-like, beta subunit"
"MMT00038194",NA,NA
"MMT00038212","Resp18","regulated endocrine-specific protein 18"
"MMT00038216","Rasd2","RASD family, member 2"
"MMT00038217","Gcnt3","glucosaminyl (N-acetyl) transferase 3, mucin type"
"MMT00038221","4930562D19Rik","RIKEN cDNA 4930562D19 gene"
"MMT00038223","Mrps36","mitochondrial ribosomal protein S36"
"MMT00038227","E130318E12Rik","RIKEN cDNA E130318E12 gene"
"MMT00038228","Sod3","superoxide dismutase 3, extracellular"
"MMT00038230","1810037B05Rik","RIKEN cDNA 1810037B05 gene"
"MMT00038232","Arc","activity regulated cytoskeletal-associated protein"
"MMT00038236","Rutbc2","RUN and TBC1 domain containing 2"
"MMT00038238","Mog","myelin oligodendrocyte glycoprotein"
"MMT00038239","Rpl38","ribosomal protein L38"
"MMT00038241","1700007B14Rik","RIKEN cDNA 1700007B14 gene"
"MMT00038249","Slc16a3","solute carrier family 16 (monocarboxylic acid transporters), member 3"
"MMT00038254","Naglu","alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)"
"MMT00038256","Rgs3","regulator of G-protein signaling 3"
"MMT00038259","6330587F24Rik","RIKEN cDNA 6330587F24 gene"
"MMT00038261","Olfr578","olfactory receptor 578"
"MMT00038263",NA,NA
"MMT00038265","4933432P15Rik","RIKEN cDNA 4933432P15 gene"
"MMT00038267","Phkb","phosphorylase kinase beta"
"MMT00038270","Serpina10","serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10"
